date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:36	1582/1582	---M-Z	200	added ('OK')	text/javascript	etag:%2220018-62e-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/dropdown/js/navbar-dropdown.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/dropdown/js/navbar-dropdown.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:36	20412/20412	---M-Z	200	added ('OK')	text/javascript	etag:%2220099-4fbc-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/touchswipe/jquery.touch-swipe.min.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/touchswipe/jquery.touch-swipe.min.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:37	23950848/23950848	---MCZ	200	added ('OK')	image/gif	etag:%2220044-16d7600-5fa63e11c7c40%22	https://www.ese.iitb.ac.in/~energyday/assets/images/ezgif-2-e4ce52a98a.gif	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/images/ezgif-2-e4ce52a98a.gif	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:37	233/233	---M-Z	200	added ('OK')	text/javascript	etag:%2220079-e9-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/mbr-popup-btns/mbr-popup-btns.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/mbr-popup-btns/mbr-popup-btns.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:37	53278/53278	---M-Z	200	added ('OK')	text/javascript	etag:%2220141-d01e-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/ytplayer/jquery.mb.ytplayer.min.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/ytplayer/jquery.mb.ytplayer.min.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:37	28451/28451	---M-Z	200	added ('OK')	text/javascript	etag:%2220135-6f23-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/vimeoplayer/jquery.mb.vimeo_player.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/vimeoplayer/jquery.mb.vimeo_player.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:37	3670/3670	---M-Z	200	added ('OK')	text/javascript	etag:%2220012-e56-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/bootstrapcarouselswipe/bootstrap-carousel-swipe.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/bootstrapcarouselswipe/bootstrap-carousel-swipe.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:38	1061/1061	---M-Z	200	added ('OK')	text/javascript	etag:%222007b-425-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/mbr-switch-arrow/mbr-switch-arrow.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/mbr-switch-arrow/mbr-switch-arrow.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:38	23793/23793	---M-Z	200	added ('OK')	text/javascript	etag:%2220097-5cf1-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/theme/js/script.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/theme/js/script.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:38	3572/3572	---M-Z	200	added ('OK')	text/javascript	etag:%2220084-df4-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/slidervideo/script.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/slidervideo/script.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:38	10129/10129	---M-Z	200	added ('OK')	text/javascript	etag:%2220021-2791-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/formoid/formoid.min.js	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/formoid/formoid.min.js	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:39	51628/51628	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%222013c-c9ac-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/web/assets/mobirise-icons/mobirise-icons.eot?spat4u	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/web/assets/mobirise-icons/mobirise-icons0e1c.eot	(from https://www.ese.iitb.ac.in/~energyday/assets/web/assets/mobirise-icons/mobirise-icons.css)
00:01:39	51464/51464	---M-Z	200	added ('OK')	text/plain	etag:%222013e-c908-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/web/assets/mobirise-icons/mobirise-icons.ttf?spat4u	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/web/assets/mobirise-icons/mobirise-icons0e1c.ttf	(from https://www.ese.iitb.ac.in/~energyday/assets/web/assets/mobirise-icons/mobirise-icons.css)
00:01:39	51540/51540	---M-Z	200	added ('OK')	text/plain	etag:%222013f-c954-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/web/assets/mobirise-icons/mobirise-icons.woff?spat4u	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/web/assets/mobirise-icons/mobirise-icons0e1c.woff	(from https://www.ese.iitb.ac.in/~energyday/assets/web/assets/mobirise-icons/mobirise-icons.css)
00:01:40	206219/206219	---M-Z	200	added ('OK')	image/svg+xml	etag:%222013d-3258b-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/web/assets/mobirise-icons/mobirise-icons.svg?spat4u	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/web/assets/mobirise-icons/mobirise-icons0e1c.svg	(from https://www.ese.iitb.ac.in/~energyday/assets/web/assets/mobirise-icons/mobirise-icons.css)
00:01:40	116416/116416	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%222008b-1c6c0-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/socicon/fonts/socicon.eot	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/socicon/fonts/socicon.eot	(from https://www.ese.iitb.ac.in/~energyday/assets/socicon/css/styles.css)
